INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
26,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1
28,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1
29,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1
33,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1
34,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1
36,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1
37,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1
39,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1
41,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1
52,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Replaced by what exactly? I think our population will be fine.,WOMEN,V1
59,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"People reading stories to children, teaching them about the world?",LGBT+,V1
66,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,"My best friend is Jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the UK a better place.",JEWS,V1
81,Must be hard being gay. They have to do everything we do but also find the time to molest children.,Child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientation.,LGBT+,V1
86,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",How many people walked by and did nothing? Is the problem uncontrolled immigration or indifference of our society?,MIGRANTS,V1
110,The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,2018 saw America take in the fewest refugees in the last 40 years.,JEWS,V1
122,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Why is being 'soft' a problem? Everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",WOMEN,V1
150,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"The problem here is not whether they should or shouldn't come, but it's about how they're getting treated while in detention. It wouldn't be bad to put them in temporary detention humanely.",MIGRANTS,V1
151,The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.,"It should be mandatory to treat prisoners with respect and with the corresponding rights. We are in the 21st century, it is a duty.",MIGRANTS,V1
152,The goods that England offers should belong to us. Not to people who do not contribute to the state,Our country offers enough homes for everyone. I also believe that being treated as a human being has always been pleasant. Don't they have the right to that?,MIGRANTS,V1
153,"The British people should use those houses, not immigrants.","There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely, try having some empathy. Imagine if you were forced by circumstance to emigrate and have to live in poor conditions.",MIGRANTS,V1
154,Immigrants just don't want to integrate. Let's kick them out!,Immigrants are integrating very well into our society and it seems that they have reached a better level of English than other people.,MIGRANTS,V1
155,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,"Harmful international politics is the cause of many problems that still afflict poor countries. We, as a whole world, have the duty to help them and take on our responsibilities.",MIGRANTS,V1
156,I hope you're joking .. I don't think it's right to put out-of-rule migrants in homes that should be made available to British people.,I don't think it is a problem to give a solution to the needy in houses that are currently empty.,MIGRANTS,V1
157,"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.",Migrants need help. They flee to find better living conditions and I think our country is suited to their needs.,MIGRANTS,V1
159,"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.",There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely. Try having some empathy. What if you had to expatriate and had to live in poor conditions?,MIGRANTS,V1
160,Are you saying that we should put illegal immigrants in houses? You have to be kidding!,What's wrong about putting people in need in houses which are not being used?,MIGRANTS,V1
161,Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,"As a matter of fact, we couldn't manage without immigrants. Most of our NHS staff are immigrants. The health system would collapse without migrant workers.",MIGRANTS,V1
162,"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we don't need others from foreign countries.","You may not know, but the NHS is mostly made up of first or second generation immigrants. If there were no more foreigners the health system would fail.",MIGRANTS,V1
163,"Honestly, it is not convenient for colored people to work in European countries.","The point is that people do not recognize the great contribution that immigrants are giving to England. We must be grateful to those who improve our country, even if the media sometimes state the opposite.",MIGRANTS,V1
164,I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,"There has always been migrant skilled labour migration into the UK, we have even contributed inviting asian and caribbean worker after WW2 to fill skills gaps. Migration isn't new, how it is being shown in the media has changed in order to cause a panic among people about high levels of migration.",MIGRANTS,V1
165,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?",This kind of articles use migrants and benefit claimants as scapegoats in order to hide from the public's attention much bigger scandals. Millionares and coorporations avoiding paying taxes cost much more to the public purse.,MIGRANTS,V1
166,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",MIGRANTS,V1
167,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?","The problem is that most of the British population is not aware of the fact that the media use the ""scandal"" of immigrants to hide bigger problems for the country; such as taxes not paid by millionaires and large corporations which then fall on us citizens.",MIGRANTS,V1
168,You probably haven't seen the vids where these retarded Muslims are killing dogs with acid.,Animal cruelty isn't right but it also isn't an issue concerning only Muslims. People of all faiths do it. In think it's important to rembember how in twitter a person encounters only beliefs or opinions that coincide with their own. Fake news which put Muslims under a bad light get belived and the selective media becomes impartial.,MUSLIMS,V1
169,Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!,"The act of killing dogs with acid is serious, but we cannot blame an entire religion for something that some people did. It is up to us to filter the information that social media gives us.",MUSLIMS,V1
170,Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,This was a prank planned by non-muslims on 4chan. Muslim do not mind if you take your dogs out for a walk. This blog post shows the thread it came from;,MUSLIMS,V1
171,Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,"You have to be careful about what you read! This is clearly a fake news, widespread to make a scandal.",MUSLIMS,V1
172,Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,"You can find outdated teaching in all major religions but it doesn't mean most people follow those parts, a similar example from Christianity: Ephesians 5:22, ""Wives, submit to you husbands as to the Lord""",MUSLIMS,V1
173,Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,"Again, we can't point the finger at a religion/culture for some old commandment. Even Christianity has rules that may seem crazy, but rightly people do not hate Christians for this.. a small example: Ephesians 5:22, ""Wives, submit to you husbands as the Lord""",MUSLIMS,V1
174,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,Did you know that this nonsense (the protocols) was concocted by the czarist police in the early part of the 20th century to counter a hankering for constitutional government among Russian people?,JEWS,V1
176,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"You are right, everything is orchestrated: the protocols were concocted by the czarist police in the early part of the 20th century to counter a hankering for constitutional government among Russian people. They needed a scapegoat to divert people's attention. Sadly the protocols worked so well that you are still citing them here today.",JEWS,V1
181,I hate Jews,"Hate is never a good thing. Get rid of the hate inside you first and then teach love to others. Love changes people for the better, not hate.",JEWS,V1
182,I hate those fucking rasta nigga,Why do you have a dislike for a race? They are just like us but with different culture.,POC,V1
183,I hate gays,Just because you dont like gays doesn't mean you have to hate them. What did they do to you? It seems to me that you still have all of your rights.,LGBT+,V1
184,Jews are a disease for our society,"I think ebola might be a bit worse. Or a brain tumour, that can't be pleasant. They are, at least, actual diseases.",JEWS,V1
185,Also God hates gays,If God hates gays why did he create them? Because he is a sadist and want to punish them? What kind of god would do such a thing?,LGBT+,V1
186,I hate Jews they want to rule the world.,people who pose no threat (regardless of religion) should have their beliefs challenged but their rights respected,JEWS,V1
187,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.","Just because there's one rotten apple on the tree, doesn't mean the entire tree is rotten",WOMEN,V1
188,I hate negros: they killed a cop!,"So are you blaming all of them? Lets say you are in a group of 10 people, 1 is a killer, does that make you ALL killers? Are you serious?",POC,V1
189,Fucking illegal immigrants: we must kill them if they try to enter our country.,"Why is it always reduced to killing? What about sharing wealth and opportunities, ending borders and stop killing instead?",MIGRANTS,V1
190,"Jews are good with money because they are cheap, greedy, and materialistic.","Like all groups of people, some Jews are good with money; some are not. Some Jews are cheap; some are not. The same can be said for any group of people, whether you define them by religion, nationality or whatever characteristics you choose.",JEWS,V1
191,Jews are welthy because they are naturally good with money.,"Actually, many Jews are not wealthy. There is a sizeable population of Jews who live in poverty, all around the world. For example, close to 1 million American Jews live in low-income households.",JEWS,V1
193,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah explains the concept.",JEWS,V1
196,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",JEWS,V1
198,Jews are born greedy,"The assumption that the actions of a few typify the behavior of all is at the heart of prejudice and discrimination. Every ethnic or religious group, can count greedy or cheap people among its members, not only the jews.",JEWS,V1
200,Jewish landlords are greedy and exploit their tenants.,"Let's make a different example: If a Christian storeowner were dishonest with you, would you describe the owner as a dishonest Christian merchant or just as a dishonest merchant?",JEWS,V1
201,Jews are cheap.,"This is just a myth, disproved by the tzedakah tradition of giving to the poor. Just in America, this religious call has resulted in an impressive record of philanthropy (and not only to Jewish causes).",JEWS,V1
202,Jews are cheap and only care about their comrades.,"What about American Jewish philanthropists such as Julius Rosenwald, who built schools for Black children in the South during the 1930s or Nathan Strauss, who set up deposits to distribute milk to families in poor areas of New York? Or Adolphus Solomons and Clara Barton, that laid the foundation for the American Red Cross? And what about the Guggenheims, who established the Guggenheim Foundation to support artists in America? Should I continue?",JEWS,V1
203,Jews have a secret plot to take over the world,"This myth traces back to “The Protocols of the Learned Elders of Zion”, that is used as proof of a Jewish conspiracy to rule the world. But the Protocols are a proven forgery, written by agents of the Russian czar in the late 19th century, that spread throughout the 20th century and continues to this day.",JEWS,V1
204,"Jews control the banks, media, hollywood, even the u.s. government.",This is just a canard that evolved from the “The Protocols of the Learned Elders of Zion”. This proven forgery was written by agents of the Russian czar in the late 19th century and claims to be the minutes of a secret meeting of Jewish leaders where they discuss a plan to rule the world. This canard spread throughout the centuries and continues to this day to promote the stereotype that the Jews own the banks and control the media and the government.,JEWS,V1
205,Jews control the u.s. government and have a secret plot to take over the world,"The reality is much simpler. In societies like the United States, that have extended rights and freedoms, individuals who identify as Jews have succeeded. But this holds for any other religious or ethnic group as well.",JEWS,V1
207,Jews made the 9/11 attack.,It is easier to blame one group for everything bad that happens rather than trying to understand the complex and multifaceted causes of problems.,JEWS,V1
209,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","At least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. They blame not only Jews, but also African Americans, immigrants, the Federal Government and even lizards from space for everything that goes wrong!",JEWS,V1
210,Jews were responsible for the 9/11 attack.,"For each historical period there is something Jews are accused of. Today, someone can even claim that Jews are responsible for the alien invasion!",JEWS,V1
212,"Jews not only run Hollywood, they also control the world economy","Jews have played an important part in the development of the movie industry and some find themselves in high-profile positions. But you only need to watch the Academy Awards to see that Jews do not dominate the movie industry. Likewise, Jews constitute a small minority of the heads of Fortune 500 companies.",JEWS,V1
213,Jews totally run Hollywood.,Jews have played an important part in the development of the movie industry and some find themselves in high-profile positions. But you only need to watch the Academy Awards to see that Jews do not dominate the movie industry.,JEWS,V1
214,Jews control the world economy,"Jews constitute only a small minority of the heads of Fortune 500 companies, how they are supposed to control the world ecomony?",JEWS,V1
215,Jews secretly control the world.,"if Jews really ran or controlled the world, how is it possible that they have been systematically persecuted over the last several thousand years? Weird notion of control...",JEWS,V1
216,Jews own everything,"Jews are individuals like others and need to be considered as such. Even though certain high-profile individuals in an industry can be Jewish, that does not mean that the entire industry, or the whole world, “is controlled by Jews.”",JEWS,V1
217,The war in Iraq is the result of a small group of Jews that control the U.S. government.,"If I remember correctly, at that time the President was George W. Bush, the Vice President was Dick Cheney, the National Security Advisor was Condoleeza Rice and Secretary of Defense was Donald Rumsfeld... They were all in favor of the war and had the ultimate authority for making decisions for the United States, still none of them are Jewish.",JEWS,V1
218,Jews control the u.s. government.,Of course there are Jews who have attained positions of influence within the U.S. government. Still Jews are not the only ones who have achieved such positions. Maybe it is better not to rely on an individual’s group membership to determine success or failure. Maybe it is better to look at a person’s success or failure based on his or her individual characteristics.,JEWS,V1
219,Jews are Christ Killers.,"Placing responsibility on a modern-day person for something that happened 2,000 years ago is quite absurd. Don't you think? Besides, wasn't it the Romans?",JEWS,V1
223,Jews think they are better than everyone else,"The fact that, according to Judaism, the Jews are the “chosen people” does not mean that they feel superior to others. This concept has been widely misunderstood. It mostly has to do with the special responsibility to uphold Jewish ethics.",JEWS,V1
229,Jews think they are so special,"Jews might feel different as a minority, and sometimes they are misunderstood because of their cultural and religious differences. This is their being ""special"".",JEWS,V1
231,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",I believe that Jews just desire the same rights to practice their religion as anyone else.,JEWS,V1
234,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.","Did you know that the concept of “racial science,” and therefore the notion of the Jewish “race”, took root in Western Europe during the 19th century? Anti-Semites adopted racial arguments as a new rationalization for their hatred of Jews.",JEWS,V1
236,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","It is important to recognize that the theories of Jewish “racial” difference were developed long before the modern sciences of physiology and genetics. Although today there is a scholarly debate over whether or not the term “race” has any scientific meaning, all reputable scientists are in agreement that, while physical traits — skin color, susceptibility to certain diseases — are inherited, there is no ethnic or racial predisposition to emotions, intellect, or morals.",JEWS,V1
243,Jews had advance knowledge of the 9/11 attacks and said nothing.,"The 9/11 attacks were perpetrated by members of the terrorist organization Al Qaeda. Jews and Israelis had no knowledge of the attacks. In fact, of the 2,9962 victims who died during the attacks, roughly 400 victims were Jews, including at least two Israeli citizens. If they knew it why didn't they warned and saved their brothers?",JEWS,V1
244,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"An estimated of 400 Jews died on September 11 terrorist attacks, including at least two Israeli citizens. Very smart plan indeed.",JEWS,V1
249,"The British people should have right to social housing, not immigrants.",Migrants aren’t eligible for social housing except in very limited circumstances (e.g. a woman forced to leave home because of domestic violence).,MIGRANTS,V1
250,"British people should have right to social housing, not immigrants.","Many councils have ‘local connection’ rules in favour of long-standing residents, rather than newcomers such as migrants.",MIGRANTS,V1
253,"Without migration, Britain’s housing problems would be solved","Of course, migration adds to housing demand, but the problem is structural given a housing stock that is well short of what's required.",MIGRANTS,V1
255,Migrants without permission to stay can still access our welfare,Tha is not true: migrants face document checks before they can get tenancies. The same holds when they use the NHS.,MIGRANTS,V1
257,Asylum seekers and refugees get free council housing,They can’t get council housing and are not even allowed to work. They get just £35 per week to pay for food and all other expenses.,MIGRANTS,V1
258,Asylum seekers and refugees can get free council housing,"Those who are accepted as refugees are eligible for social housing, that is true, but very few succeed in getting it because they have a maximum of 28 days to leave their temporary accommodation and arrange all their paperwork.",MIGRANTS,V1
260,Asylum seekers and refugees can get free council housing and settle down permanently.,They are given only five years’ permission to stay in the UK and are often discriminated against because they only have limited right to remain.,MIGRANTS,V1
262,Migrants put a strain on public services,The Migration Observatory has collated the evidence on whether migrants pay more in taxes than they receive in services. Almost all the studies shows that they do.,MIGRANTS,V1
263,Migrants put a strain on public services like housing,"Despite the increase of people in the UK who were born abroad, foreigners account for only 8% of new lettings made by social landlords. Of course the percentage is higher in places where more migrants live, but the big picture is that nine out of ten lettings go to British nationals.",MIGRANTS,V1
264,"Jews are are cheap, greedy, and materialistic.","People with these very characteristics can be found in any group of people, whether you define them by religion, nationality or whatever trait you prefer.",JEWS,V1
302,"Immigrants are overrunning our country, and are here illegally","True: there are more immigrants living in the U.S. than ever before. Still, the percentage of immigrants in the overall population is not much different than other times in our history. Today immigrants make up approximately 13% of the U.S. population. From 1900 to 1930, immigrants made up 12-15% of the population, and similar spikes occurred in the 1850s and 1880s. During those periods immigrants successfully became part of American society, helping us to build the thriving country we live in.",MIGRANTS,V1
312,Immigrants bring crime and violence to our cities.,"Recently, public figures have accused immigrants of being “killers” and “rapists,” - bringing crime to the U.S. - without proof. In fact, studies have shown that immigrants - regardless of their origin, immigration status, or education level - are less likely than nativeborn citizens to commit crimes or become incarcerated. According to the U.S. Chamber of Commerce, while the percentage of immigrants in the U.S. (both documented and undocumented) increased sharply between 1990 and 2010, the violent crime rate during the same period plummeted 45 percent and the property crime rate dropped by 42 percent. Studies have consistently found that there is a negative correlation between levels of immigration and crime rates. Other studies have also found that crime rates are lower in states with higher immigration growth rates, and that states with larger shares of undocumented immigrants tend to have lower crime rates than states with smaller shares.",MIGRANTS,V1
316,Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,"Though some might claim that immigrants are taking job opportunities away from U.S. citizens, immigrants actually help to create new jobs. Not only immigrants buy American products, which helps create jobs, they also start new businesses. In fact, immigrants are twice as likely to start businesses as citizens born in the U.S., and companies owned by immigrants are more likely to hire employees than companies owned by native-born citizens. Last but not least, states with large numbers of immigrants report lower unemployment rates.",MIGRANTS,V1
321,Immigrants hurt the economy of our country by taking jobs and services without paying taxes.,Did you know that immigrants pay between $90 and $140 billion each year in taxes?,MIGRANTS,V1
325,Immigrants are entering the U.S. just to obtain welfare and other benefits.,Most immigrants coming to our country work hard to take care of their families. Many studies have shown that immigrants tend to pay more in taxes than they receive in benefits. This means that the taxes they pay cover the cost of things like public education and healthcare of others.,MIGRANTS,V1
333,Immigrants are coming to the U.S. to have babies here.,"The Fourteenth Amendment, commonly known as “birthright citizenship” says that “All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the state wherein they reside.” Some claim that undocumented immigrants come to the U.S. to take advantage of this right. Still, research consistently shows that the vast majority of immigrants come to the U.S. for economic opportunity or to flee violence and poverty. Immigration trends - consistently throughout history - show that immigration increases when the U.S. economy is booming and it decreases when the U.S. economy is doing less well, supporting the findings that people come for economic opportunity.",MIGRANTS,V1
337,Immigrants are coming to the U.S. only as couples to have babies here.,"If people were coming to the U.S for the reason you mention, we would expect to see the same number of women and men. Still there are many more young immigrant men coming to the U.S. than young women. How can you explain this?",MIGRANTS,V1
343,Immigrants are bringing diseases into the U.S.,"Although many people have claimed that immigrants have brought diseases such as measles, hepatitis C, HIV, tuberculosis, and even Ebola, to the U.S., this allegation is not supported. There is no evidence that immigrants were the source of any recent outbreak in the U.S. According to the WHO, more than 100 countries (including many in Latin America) have higher vaccination rates than the U.S. Mexico, for example, has a 99 percent vaccination rate for measles. Guatemala, Honduras and El Salvador have a 93 percent vaccination rate. The vaccination rate in the U.S., by comparison, is 92 percent. Last but not least, the vast majority of immigrants arriving in the U.S. have been screened for health issues.",MIGRANTS,V1
348,Terrorists are infiltrating the U.S. across the border with Mexico.,"There is no evidence that terrorists are entering through the Mexican border. In 2014, Homeland Security noted that “the suggestion that individuals that have ties to ISIL have been apprehended at the southwest border is categorically false, and not supported by any credible intelligence or facts on the ground.” Also, according to another 2017 report by the Bureau of Counterterrorism “Counterterrorism cooperation between the Mexican and U.S. governments remained strong. There are no known international terrorist organizations operating in Mexico, no evidence that any terrorist group has targeted U.S. citizens in Mexican territory, and no credible information that any member of a terrorist group has traveled through Mexico to gain access to the United States.” In fact, the vast majority of those linked to terrorism since 2002 are U.S. citizens.",MIGRANTS,V1
352,Undocumented immigrants sneak across the border with Mexico.,Current estimates suggest that between one third and one half of undocumented immigrants have overstayed their visas. That means that they entered the U.S. with lawful documentation and only later became illegal.,MIGRANTS,V1
354,We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.,"So what? Many more entered the U.S. with lawful documentation and only later became illegal, by overstaying their visas. In my opinion what should matter is how they behave, not the way they entered our country.",MIGRANTS,V1
355,Migrants get 35 euros per day for idling.,"The 35 euros are not given directly to the migrants, but are used for their sustenance.",MIGRANTS,V1
358,"Fucking bleeding heart, why don't you host migrants in your house",There are already examples of widespread humanitarian hosting.,MIGRANTS,V1
360,"Fucking bleeding hearts, take migrants home with you",The world belongs to everyone and helping someone in need wouldn't be a problem for a kind hearted human being.,MIGRANTS,V1
361,"Fucking bleeding heart, take migrants home with you.",There need to be many more programmes offering asylum and resettlement.,MIGRANTS,V1
362,"Fucking bleeding heart, bring migrants home with you","Beyond individual generosity, it is the duty of the state to take charge of vulnerable people, according to the constitution.",MIGRANTS,V1
363,migrants steal our jobs,"In fact, they often accept jobs that we do not want to do anymore.",MIGRANTS,V1
415,Gypsies get the priority for council houses.,"Statistically, it almost never happens that they get the priority.",other,V1
